TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
EVEN3;6,38;11,87;13,50;0,76;0,23;29,28;15,91;4,58;3,89;1,70;-2,19;-0,43;0,62;0,59;-1,03;2,00;5,59;1,71;10,42;0,31;0,56;0,37;-5,40;-0,24;12.375.204,53;8,45;0,47;-0,53;1.352.560.000,00
EZTC3;19,13;2,22;8,73;0,99;0,86;44,98;31,92;47,65;13,04;10,00;-3,04;-0,23;4,16;2,32;-1,53;6,45;11,33;9,83;6,85;0,87;0,12;0,21;2,84;2,29;55.835.771,94;19,34;2,19;0,26;4.342.510.000,00
FBMC3;0,00;;0,00;0,00;0,00;-60,76;-92,67;-101,97;0,00;-0,74;-0,67;;0,00;0,00;0,00;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FBMC4;1,96;;-0,09;-0,02;0,03;-60,76;-92,67;-101,97;-0,10;-0,74;-0,67;;0,09;-0,04;-0,05;0,31;-24,19;-36,57;25,82;-1,51;2,51;0,36;-18,14;;;-87,48;-21,16;0,00;904.253,84
FESA3;49,00;2,51;9,75;1,98;1,38;37,07;27,41;20,44;7,27;6,76;-0,10;-0,03;1,99;4,97;-2,30;3,33;20,30;14,19;22,44;0,70;0,30;0,69;11,62;20,70;36.797,85;24,75;5,02;0,01;4.082.150.400,00
FESA4;44,83;3,02;8,92;1,81;1,27;37,07;27,41;20,44;6,65;6,76;-0,10;-0,03;1,82;4,54;-2,10;3,33;20,30;14,19;22,44;0,70;0,30;0,69;11,62;20,70;26.950.208,17;24,75;5,02;0,01;4.082.150.400,00
FHER3;20,15;;3,82;12,00;0,44;20,11;15,60;8,25;2,02;2,94;0,92;5,48;0,32;1,98;-1,24;1,54;314,38;11,64;72,38;0,04;0,96;1,41;-18,89;;53.378.606,61;1,68;5,28;-0,07;1.085.224.272,60
FIGE3;0,00;;0,00;0,00;0,00;100,00;88,93;60,08;0,00;0,00;;;0,00;0,00;0,00;;1,69;1,69;;1,00;0,00;0,03;;-22,55;;99,17;1,68;0,00;0,00
FIGE4;0,00;;0,00;0,00;0,00;100,00;88,93;60,08;0,00;0,00;;;0,00;0,00;0,00;;1,69;1,69;;1,00;0,00;0,03;;-22,55;;99,17;1,68;0,00;0,00
FIQE3;6,43;;33,34;2,36;1,45;49,30;31,77;17,83;18,72;14,61;-4,11;-0,52;5,94;3,56;-3,35;3,57;7,09;4,36;6,96;0,61;0,39;0,24;;;4.515.537,00;2,72;0,19;;2.327.978.985,87
FLEX3;0,00;;0,00;0,00;0,00;30,76;3,35;-4,02;0,00;7,47;7,47;9,88;0,00;0,00;0,00;0,88;-158,35;-4,98;9,05;0,03;0,97;1,24;9,15;;;4,16;-6,58;0,00;0,00
FLRY3;18,95;4,55;14,39;3,32;0,99;30,62;18,83;11,07;8,46;11,36;2,90;1,14;1,59;8,26;-1,43;1,62;23,06;6,86;11,87;0,30;0,70;0,62;9,42;31,28;47.369.036,06;5,71;1,32;0,10;6.025.038.724,20
FNCN3;15,22;;-9,18;1,39;1,26;100,00;-114,77;-114,77;-9,18;-9,18;;;10,54;2,73;-2,82;6,08;-15,11;-13,74;;0,91;0,09;0,12;-37,65;;2.533,00;10,97;-1,66;0,36;13.907.701,16
FRAS3;13,75;2,67;9,42;2,73;0,96;29,80;15,03;12,74;7,98;9,65;1,66;0,57;1,20;3,62;-2,01;2,05;28,94;10,23;15,11;0,35;0,64;0,80;13,81;43,52;2.205.772,11;5,04;1,46;0,02;2.991.537.216,25
FRIO3;41,00;;-9,25;-1,79;0,09;16,15;5,75;-1,01;1,63;8,98;7,36;;0,09;7,69;-0,33;1,02;-19,40;-0,98;6,92;-0,05;1,01;0,97;7,27;;9.750,00;-22,84;-4,43;0,11;168.376.914,00
FRTA3;5,58;;-1,03;-0,18;0,34;-24,92;-45,44;-69,86;-1,59;-10,08;-8,49;;0,72;-0,14;-0,40;0,06;-17,14;-32,68;320,18;-1,91;2,91;0,47;-19,35;;21.058,53;-31,53;-5,41;0,00;11.459.121,48
FTRT3B;0,00;;0,00;0,00;0,00;;;;0,00;0,00;0,00;0,00;;0,00;0,00;0,00;-0,95;-0,90;-2,42;0,95;0,05;0,00;;;;0,01;0,00;0,00;0,00
G2DI33;6,10;;1,71;0,59;0,51;100,00;88,25;87,04;1,69;1,46;-0,23;-0,08;1,49;15,76;-0,61;1,26;34,28;29,91;31,51;0,87;0,13;0,34;;;848.835,44;10,38;3,56;;624.262.873,60
GBIO33;10,40;;-14,97;1,32;0,79;43,48;3,79;-10,14;40,09;47,57;7,48;0,25;1,52;7,57;-1,43;1,31;-8,83;-5,29;-0,10;0,60;0,40;0,52;12,83;;;7,86;-0,69;0,06;1.108.871.982,40
GEPA3;32,50;10,77;6,34;1,61;0,79;83,28;82,27;37,38;2,88;3,93;1,07;0,60;2,37;-5,19;-0,86;0,34;25,35;12,54;27,61;0,49;0,51;0,34;3,60;21,53;12.846,44;20,22;5,13;0,06;3.053.342.817,00
